confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	32.7 % of all households were made up of individuals and 15.7	were made	up of individuals and 15.7 % had someone living alone			32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .		
1.0	15.7 % had someone living alone	was	65 years of age or older			32.7 % of all households were made up of individuals and 15.7 % had someone living alone who was 65 years of age or older .		
1.0	A CEN	forms	an important but small part of a Local Strategic Partnership			A CEN forms an important but small part of a Local Strategic Partnership .		
1.0	he	became	the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26			A Democrat , he became the youngest mayor in Pittsburgh 's history in September 2006 at the age of 26 .		
1.0	A cafeteria	is also located	on the sixth floor			A cafeteria is also located on the sixth floor , a chapel on the 14th floor , and a study hall on the 15th floor .		
1.0	A casting director at the time	told	Scott that he had wished that he 'd met him a week before			A casting director at the time told Scott that he had wished that he 'd met him a week before ; he was casting for the `` G.I. Joe '' cartoon .		
1.0	A common name , logo , and programming schedule	followed	in 1982			A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .		
1.0	establishment of the `` TV8 '' network between the three stations	changed	to the `` Southern Cross Network '' seven years later			A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .		
1.0	A cooling center	is	a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave			A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .		
1.0	a temporary air-conditioned public space	set up	by local authorities to deal with the health effects of a heat wave			A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .		
1.0	it	can not be presented	as a connected sum of more than one manifold			A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .		
1.0	A manifold	is	prime			A manifold is `` prime '' if it can not be presented as a connected sum of more than one manifold , none of which is the sphere of the same dimension .		
1.0	A mid-March 2002 court order	to stop	printing for three months			A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .		
1.0	A mid-March 2002 court order to stop printing for three months	was evaded	by printing under other titles , such as `` Not That			A mid-March 2002 court order to stop printing for three months , was evaded by printing under other titles , such as `` Not That Respublika '' .		
1.0	the few	held	of the few held in the UK			A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .		
1.0	A motorcycle speedway long-track meeting	was staged	at Ammanford			A motorcycle speedway long-track meeting , one of the few held in the UK , was staged at Ammanford .		
1.0	turbomachinery	may use	one or more centrifugal compressors within the machine			A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .		
1.0	A partial list of turbomachinery	are listed	here			A partial list of turbomachinery that may use one or more centrifugal compressors within the machine are listed here .		
1.0	NC 111	diverges	A short distance to the east , NC 111 diverges on Greenwood Boulevard			A short distance to the east , NC 111 diverges on Greenwood Boulevard .		
1.0	A spectrum from a single FID	has	a low signal-to-noise ratio			A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .		
